"Anno di Riferimento";"Codice Voce Contabile";"Descrizione Voce Contabile";"Importo Totale";"Data Aggiornamento";
"2008";"B02420";"B.2.A.14.3) Consulenze, Collaborazioni,  Interinale e altre prestazioni di lavoro sanitarie e socios. da privato";1140135000.00;"06/12/2011";
"2008";"B02425";"B.2.A.14.3.A) Consulenze sanitarie e sociosanitarie da privato";381021000.00;"06/12/2011";
"2008";"B02430";"B.2.A.14.3.B) Collaborazioni coordinate e continuative sanitarie e socios. da privato";110436000.00;"06/12/2011";
"2008";"B02435";"B.2.A.14.3.C) Indennita' a personale universitario -area sanitaria";374522000.00;"06/12/2011";
"2008";"B02440";"B.2.A.14.3.D) Lavoro interninale -area sanitaria";112748000.00;"14/07/2011";
"2008";"B02445";"B.2.A.14.3.E) Altre collaborazioni e prestazioni di lavoro -area sanitaria";161408000.00;"06/12/2011";
"2008";"B02450";"B.2.A.14.4) Rimborso oneri stipendiali del personale sanitario in comando";20214000.00;"14/07/2011";
"2008";"B02455";"B.2.A.14.4.A) Rimborso oneri stipendiali personale sanitario in comando da Asl-AO, IRCCS, Policlinici della Regione";74000.00;"14/07/2011";
"2008";"B02460";"B.2.A.14.4.B) Rimborso oneri stipendiali personale sanitario in comando da Regioni, Enti Pubblici e da Universita'";18885000.00;"15/02/2010";
"2008";"B02465";"B.2.A.14.4.C) Rimborso oneri stipendiali personale sanitario in comando da aziende di altre Regioni (Extraregione)";1255000.00;"30/10/2009";
"2008";"B02470";"B.2.A.15) Altri servizi sanitari e sociosanitari a rilevanza sanitaria";901139000.00;"06/12/2011";
"2008";"B02480";"B.2.A.15.2)  Altri servizi sanitari e sociosanitari da pubblico - Altri enti";87310000.00;"15/02/2010";
"2008";"B02485";"B.2.A.15.3) Altri servizi sanitari e sociosanitari da pubblico (extra Regione)";12803000.00;"14/07/2011";
"2008";"B02490";"B.2.A.15.4)  Altri servizi sanitari da privato";797735000.00;"06/12/2011";
"2008";"B02495";"B.2.A.15.5)  Costi per servizi sanitari - Mobilita' internazionale passiva";3291000.00;"07/08/2009";
